date,longitude,latitude,resight,size,source
02/01/1884,-48.05,45.73,0,SM,NOT IIP
02/02/1884,-46.03,46.0,0,BERG,NOT IIP
02/04/1884,-47.0,46.23,0,MED,NOT IIP
02/06/1884,-48.75,44.05,0,BERG,NOT IIP
02/07/1884,-49.0,44.75,0,SM,NOT IIP
02/08/1884,-45.08,46.73,0,BERG,NOT IIP
02/09/1884,-47.3,41.07,0,BERG,NOT IIP
02/09/1884,-48.08,44.57,0,BERG,NOT IIP
02/09/1884,-49.0,42.08,0,BERG,NOT IIP
02/09/1884,-47.42,45.63,0,BERG,NOT IIP
02/13/1884,-44.37,45.27,0,LG,NOT IIP
02/13/1884,-45.48,45.0,0,LG,NOT IIP
02/14/1884,-43.75,46.08,0,LG,NOT IIP
02/15/1884,-44.32,46.25,0,BERG,NOT IIP
02/16/1884,-46.97,45.2,0,BERG,NOT IIP
02/16/1884,-48.08,44.0,0,BERG,NOT IIP
02/16/1884,-48.07,44.3,0,BERG,NOT IIP
02/18/1884,-48.55,43.78,0,LG,NOT IIP
02/19/1884,-51.05,44.08,0,BERG,NOT IIP
02/19/1884,-46.52,43.68,0,LG,NOT IIP
02/19/1884,-46.52,43.68,0,BERG,NOT IIP
02/20/1884,-48.0,43.02,0,BERG,NOT IIP
02/20/1884,-49.0,43.02,0,BERG,NOT IIP
02/20/1884,-48.0,43.02,0,MED,NOT IIP
02/20/1884,-49.0,43.02,0,MED,NOT IIP
02/20/1884,-48.0,43.87,0,BERG,NOT IIP
02/20/1884,-46.2,44.42,0,VLG,NOT IIP
02/20/1884,-47.85,44.93,0,BERG,NOT IIP
02/20/1884,-49.75,43.07,0,BERG,NOT IIP
02/21/1884,-49.0,43.65,0,BERG,NOT IIP
02/21/1884,-47.0,43.07,0,BERG,NOT IIP
02/21/1884,-45.43,43.87,0,VLG,NOT IIP
02/22/1884,-49.03,42.9,0,LG,NOT IIP
02/23/1884,-48.43,43.47,0,BERG,NOT IIP
02/23/1884,-49.42,42.93,0,BERG,NOT IIP
02/23/1884,-45.98,44.45,0,BERG,NOT IIP
02/23/1884,-49.58,42.75,0,BERG,NOT IIP
02/23/1884,-48.08,43.08,0,LG,NOT IIP
02/23/1884,-47.3,44.03,0,BERG,NOT IIP
02/23/1884,-45.07,44.07,0,BERG,NOT IIP
02/24/1884,-51.0,42.05,0,X,NOT IIP
02/24/1884,-47.28,43.35,0,LG,NOT IIP
02/24/1884,-51.0,42.03,0,BERG,NOT IIP
02/25/1884,-49.75,42.08,0,BERG,NOT IIP
02/26/1884,-48.93,44.22,0,BERG,NOT IIP
02/26/1884,-49.52,42.52,0,BERG,NOT IIP
02/26/1884,-48.22,43.23,0,BERG,NOT IIP
02/26/1884,-48.62,43.57,0,BERG,NOT IIP
02/26/1884,-50.6,42.02,0,BERG,NOT IIP
02/26/1884,-45.62,44.42,0,LG,NOT IIP
02/26/1884,-48.07,43.88,0,BERG,NOT IIP
02/27/1884,-44.0,47.0,0,BERG,NOT IIP
02/27/1884,-48.07,44.05,0,LG,NOT IIP
02/28/1884,-47.0,43.05,0,BERG,NOT IIP
02/28/1884,-50.0,42.0,0,BERG,NOT IIP
02/28/1884,-47.9,43.53,0,BERG,NOT IIP
02/28/1884,-51.0,42.55,0,BERG,NOT IIP
01/01/2100,-50.57,42.7,0,VLG,NOT IIP
01/01/2100,-51.2,42.6,0,LG,NOT IIP
01/01/2100,-50.03,42.58,0,BERG,NOT IIP
01/01/2100,-51.53,42.45,0,BERG,NOT IIP
01/01/2100,-50.03,42.05,0,BERG,NOT IIP
01/01/2100,-47.0,43.0,0,BERG,NOT IIP
03/15/1884,-47.95,43.48,0,LG,NOT IIP
03/03/1884,-45.05,44.07,0,BERG,NOT IIP
03/03/1884,-52.0,43.0,0,BERG,NOT IIP
03/15/1884,-42.03,46.0,0,LG,NOT IIP
03/15/1884,-51.05,42.02,0,LG,NOT IIP
03/15/1884,-42.03,46.0,0,SM,NOT IIP
03/15/1884,-51.05,42.02,0,SM,NOT IIP
03/15/1884,-46.1,43.38,0,BERG,NOT IIP
03/01/1884,-50.0,42.0,0,BERG,NOT IIP
03/02/1884,-50.03,42.2,0,BERG,NOT IIP
03/02/1884,-50.9,42.08,0,BERG,NOT IIP
03/02/1884,-45.0,44.15,0,BERG,NOT IIP
03/02/1884,-48.0,42.08,0,BERG,NOT IIP
03/02/1884,-52.02,42.05,0,BERG,NOT IIP
03/03/1884,-47.03,44.4,0,BERG,NOT IIP
03/03/1884,-50.08,43.48,0,BERG,NOT IIP
03/03/1884,-50.0,42.0,0,VLG,NOT IIP
03/04/1884,-45.13,44.55,0,BERG,NOT IIP
03/04/1884,-51.42,42.57,0,BERG,NOT IIP
03/04/1884,-46.0,43.0,0,BERG,NOT IIP
03/05/1884,-45.05,45.25,0,LG,NOT IIP
03/05/1884,-49.0,40.08,0,BERG,NOT IIP
03/06/1884,-48.05,42.27,0,MED,NOT IIP
03/06/1884,-50.22,42.1,0,SM,NOT IIP
03/06/1884,-48.13,42.87,0,LG,NOT IIP
03/06/1884,-48.92,42.75,0,LG,NOT IIP
03/06/1884,-50.05,43.47,0,LG,NOT IIP
03/07/1884,-47.9,42.4,0,LG,NOT IIP
03/07/1884,-43.05,44.0,0,BERG,NOT IIP
03/08/1884,-47.38,42.57,0,BERG,NOT IIP
03/08/1884,-51.42,42.02,0,BERG,NOT IIP
03/08/1884,-51.85,42.13,0,BERG,NOT IIP
03/08/1884,-44.25,44.43,0,SM,NOT IIP
03/08/1884,-44.7,44.2,0,SM,NOT IIP
03/08/1884,-45.07,44.03,0,LG,NOT IIP
03/08/1884,-47.02,43.73,0,BERG,NOT IIP
03/08/1884,-50.3,43.03,0,BERG,NOT IIP
03/08/1884,-47.02,43.73,0,VLG,NOT IIP
03/08/1884,-50.3,43.03,0,VLG,NOT IIP
03/08/1884,-46.12,44.47,0,BERG,NOT IIP
03/08/1884,-46.12,44.47,0,X,NOT IIP
03/08/1884,-54.1,41.03,0,BERG,NOT IIP
03/08/1884,-45.05,44.05,0,LG,NOT IIP
03/09/1884,-50.37,42.58,0,BERG,NOT IIP
03/09/1884,-50.38,43.05,0,SM,NOT IIP
03/09/1884,-47.02,42.85,0,MED,NOT IIP
03/09/1884,-43.92,44.18,0,MED,NOT IIP
03/09/1884,-51.0,42.03,0,BERG,NOT IIP
03/10/1884,-44.85,43.85,0,BERG,NOT IIP
03/10/1884,-48.82,42.87,0,BERG,NOT IIP
03/10/1884,-49.0,42.3,0,LG,NOT IIP
03/10/1884,-48.03,42.05,0,BERG,NOT IIP
03/10/1884,-50.0,43.0,0,LG,NOT IIP
03/10/1884,-46.0,44.05,0,LG,NOT IIP
03/10/1884,-52.0,42.05,0,LG,NOT IIP
03/10/1884,-44.72,43.07,0,SM,NOT IIP
03/10/1884,-44.72,43.07,0,SM,NOT IIP
03/10/1884,-52.0,41.03,0,BERG,NOT IIP
03/11/1884,-42.07,43.12,0,X,NOT IIP
03/11/1884,-51.2,42.08,0,BERG,NOT IIP
03/12/1884,-50.95,42.13,0,BERG,NOT IIP
03/12/1884,-43.07,43.27,0,LG,NOT IIP
03/12/1884,-45.2,42.97,0,BERG,NOT IIP
03/13/1884,-49.42,41.1,0,LG,NOT IIP
03/13/1884,-46.25,42.37,0,LG,NOT IIP
03/13/1884,-48.77,42.48,0,SM,NOT IIP
03/15/1884,-42.48,43.43,0,SM,NOT IIP
03/15/1884,-43.08,42.97,0,MED,NOT IIP
03/15/1884,-45.05,44.05,0,LG,NOT IIP
03/15/1884,-47.23,43.53,0,LG,NOT IIP
03/15/1884,-41.45,45.97,0,LG,NOT IIP
03/15/1884,-42.13,45.85,0,BERG,NOT IIP
03/15/1884,-46.72,43.77,0,BERG,NOT IIP
03/16/1884,-41.05,45.0,0,LG,NOT IIP
03/16/1884,-43.0,44.0,0,LG,NOT IIP
03/17/1884,-47.42,42.72,0,BERG,NOT IIP
03/17/1884,-49.58,42.62,0,BERG,NOT IIP
03/17/1884,-47.05,43.07,0,BERG,NOT IIP
03/17/1884,-52.77,42.77,0,BERG,NOT IIP
03/17/1884,-44.73,43.08,0,BERG,NOT IIP
03/18/1884,-51.08,42.38,0,MED,NOT IIP
03/18/1884,-49.7,42.02,0,BERG,NOT IIP
03/18/1884,-45.03,44.08,0,BERG,NOT IIP
03/19/1884,-46.0,44.0,0,LG,NOT IIP
03/22/1884,-45.63,43.57,0,BERG,NOT IIP
03/22/1884,-44.55,44.03,0,BERG,NOT IIP
03/22/1884,-49.07,42.0,0,VLG,NOT IIP
03/22/1884,-44.65,43.63,0,SM,NOT IIP
03/23/1884,-44.07,43.58,0,BERG,NOT IIP
03/23/1884,-52.05,41.75,0,SM,NOT IIP
03/23/1884,-42.57,45.27,0,BERG,NOT IIP
03/23/1884,-42.0,43.95,0,BERG,NOT IIP
03/23/1884,-42.57,43.78,0,BERG,NOT IIP
03/23/1884,-50.42,42.02,0,BERG,NOT IIP
03/24/1884,-52.42,41.8,0,BERG,NOT IIP
03/24/1884,-53.78,41.05,0,LG,NOT IIP
03/24/1884,-40.62,45.05,0,LG,NOT IIP
03/25/1884,-40.45,44.15,0,BERG,NOT IIP
03/25/1884,-44.97,44.2,0,LG,NOT IIP
03/26/1884,-50.53,42.92,0,BERG,NOT IIP
03/26/1884,-48.08,43.03,0,LG,NOT IIP
03/27/1884,-43.65,42.6,0,X,NOT IIP
03/27/1884,-43.65,42.6,0,SM,NOT IIP
03/28/1884,-40.25,45.0,0,BERG,NOT IIP
03/29/1884,-53.03,42.08,0,LG,NOT IIP
03/29/1884,-53.03,42.08,0,SM,NOT IIP
04/02/1884,-47.43,44.08,0,BERG,NOT IIP
04/02/1884,-51.0,43.38,0,BERG,NOT IIP
04/02/1884,-43.57,45.4,0,LG,NOT IIP
04/04/1884,-51.77,43.12,0,SM,NOT IIP
04/11/1884,-52.37,43.18,0,LG,NOT IIP
04/12/1884,-49.7,42.97,0,LG,NOT IIP
04/12/1884,-50.2,44.38,0,BERG,NOT IIP
04/16/1884,-53.0,43.0,0,LG,NOT IIP
04/16/1884,-51.25,42.77,0,BERG,NOT IIP
04/16/1884,-49.73,43.13,0,LG,NOT IIP
04/18/1884,-52.02,42.07,0,SM,NOT IIP
04/22/1884,-49.15,43.95,0,LG,NOT IIP
04/22/1884,-49.22,43.93,0,LG,NOT IIP
04/22/1884,-49.4,43.88,0,LG,NOT IIP
04/22/1884,-50.9,43.78,0,VLG,NOT IIP
04/23/1884,-47.02,42.07,0,BERG,NOT IIP
04/23/1884,-47.07,42.63,0,SM,NOT IIP
04/23/1884,-49.0,45.08,0,BERG,NOT IIP
04/27/1884,-53.07,46.65,0,BERG,NOT IIP
04/24/1884,-48.9,44.0,0,LG,NOT IIP
04/24/1884,-49.27,43.9,0,LG,NOT IIP
04/24/1884,-48.77,41.43,0,LG,NOT IIP
04/25/1884,-50.75,42.02,0,BERG,NOT IIP
04/25/1884,-50.05,42.03,0,BERG,NOT IIP
04/26/1884,-50.52,42.3,0,LG,NOT IIP
04/27/1884,-53.42,51.3,0,X,NOT IIP
04/29/1884,-56.85,45.25,0,LG,NOT IIP
04/29/1884,-48.03,44.02,0,BERG,NOT IIP
04/29/1884,-51.02,44.0,0,BERG,NOT IIP
05/04/1884,-50.0,43.0,0,LG,NOT IIP
05/04/1884,-52.0,42.03,0,VLG,NOT IIP
05/09/1884,-45.93,44.03,0,SM,NOT IIP
05/10/1884,-48.95,43.88,0,SM,NOT IIP
12/21/1884,-46.75,46.03,0,MED,NOT IIP
09/25/1884,-53.07,46.65,0,BERG,NOT IIP
09/01/1884,-53.75,49.55,0,BERG,NOT IIP
09/01/1884,-53.05,48.75,0,BERG,NOT IIP
09/07/1884,-52.58,47.05,0,BERG,NOT IIP
02/04/1884,-48.0,45.0,0,BERG,NOT IIP
06/04/1884,-45.05,49.42,0,BERG,NOT IIP
06/15/1884,-52.53,47.35,0,BERG,NOT IIP
06/18/1884,-48.47,41.05,0,X,NOT IIP
08/27/1884,-53.03,48.05,0,BERG,NOT IIP
09/12/1884,-53.03,47.75,0,BERG,NOT IIP
11/30/1884,-53.93,49.78,0,BERG,NOT IIP
05/13/1884,-48.52,42.65,0,BERG,NOT IIP
05/15/1884,-49.92,42.8,0,LG,NOT IIP
05/15/1884,-49.63,43.48,0,BBGR,NOT IIP
05/21/1884,-48.03,42.08,0,VLG,NOT IIP
05/22/1884,-45.07,44.08,0,BERG,NOT IIP
05/23/1884,-50.47,47.03,0,BERG,NOT IIP
05/20/1884,-47.0,47.0,0,LG,NOT IIP
05/20/1884,-52.0,48.0,0,LG,NOT IIP
05/19/1884,-45.75,48.32,0,LG,NOT IIP
05/19/1884,-45.75,48.32,0,X,NOT IIP
05/24/1884,-50.57,40.02,0,LG,NOT IIP
05/26/1884,-50.0,42.0,0,BERG,NOT IIP
05/30/1884,-48.28,43.45,0,BERG,NOT IIP
05/30/1884,-48.05,47.62,0,BERG,NOT IIP
05/25/1884,-48.42,43.87,0,LG,NOT IIP
05/24/1884,-56.02,43.05,0,VLG,NOT IIP
05/24/1884,-56.02,43.05,0,SM,NOT IIP
05/24/1884,-44.08,43.05,0,BERG,NOT IIP
05/24/1884,-46.25,44.78,0,LG,NOT IIP
05/30/1884,-47.05,41.05,0,SM,NOT IIP
06/01/1884,-48.18,42.93,0,BERG,NOT IIP
06/01/1884,-48.53,42.9,0,BERG,NOT IIP
06/01/1884,-49.72,43.02,0,BERG,NOT IIP
06/02/1884,-49.02,44.57,0,LG,NOT IIP
06/05/1884,-47.58,44.6,0,LG,NOT IIP
05/21/1884,-48.05,46.05,0,LG,NOT IIP
06/06/1884,-48.07,42.25,0,VLG,NOT IIP
06/06/1884,-48.07,42.25,0,BBGR,NOT IIP
06/11/1884,-48.58,42.28,0,BERG,NOT IIP
06/03/1884,-49.42,44.28,0,BERG,NOT IIP
05/27/1884,-53.42,45.4,0,LG,NOT IIP
06/15/1884,-48.0,41.63,0,BERG,NOT IIP
06/15/1884,-49.0,41.63,0,BERG,NOT IIP
06/15/1884,-51.05,42.07,0,BERG,NOT IIP
06/14/1884,-50.97,42.57,0,SM,NOT IIP
05/24/1884,-50.02,42.95,0,LG,NOT IIP
06/18/1884,-48.07,43.47,0,LG,NOT IIP
06/18/1884,-48.07,43.47,0,SM,NOT IIP
10/03/1884,-53.07,46.53,0,LG,NOT IIP
10/03/1884,-53.07,46.53,0,SM,NOT IIP
05/25/1884,-45.25,45.0,0,LG,NOT IIP
06/16/1884,-52.08,45.37,0,VLG,NOT IIP
06/20/1884,-47.07,40.7,0,MED,NOT IIP
06/22/1884,-47.08,40.8,0,VLG,NOT IIP
06/18/1884,-48.0,43.0,0,LG,NOT IIP
06/13/1884,-48.57,45.22,0,BERG,NOT IIP
06/24/1884,-45.05,45.8,0,BERG,NOT IIP
06/08/1884,-50.6,41.2,0,LG,NOT IIP
07/03/1884,-48.03,42.43,0,LG,NOT IIP
06/27/1884,-45.58,44.9,0,VLG,NOT IIP
06/19/1884,-47.0,41.0,0,SM,NOT IIP
06/11/1884,-50.35,42.25,0,LG,NOT IIP
07/15/1884,-48.18,47.05,0,MED,NOT IIP
07/21/1884,-46.75,46.05,0,BERG,NOT IIP
07/18/1884,-47.03,47.03,0,BERG,NOT IIP
07/29/1884,-50.95,47.23,0,BERG,NOT IIP
07/20/1884,-46.72,47.27,0,LG,NOT IIP
07/31/1884,-49.58,47.08,0,BERG,NOT IIP
07/28/1884,-46.47,48.6,0,BERG,NOT IIP
07/24/1884,-46.05,46.05,0,SM,NOT IIP
08/04/1884,-47.05,47.03,0,BERG,NOT IIP
08/11/1884,-46.43,47.25,0,BERG,NOT IIP
08/11/1884,-43.08,47.08,0,BERG,NOT IIP
08/17/1884,-47.1,47.03,0,LG,NOT IIP
08/20/1884,-47.05,46.02,0,LG,NOT IIP
08/17/1884,-46.07,46.45,0,BERG,NOT IIP
08/17/1884,-47.58,46.03,0,LG,NOT IIP
08/17/1884,-47.58,46.03,0,SM,NOT IIP
08/20/1884,-45.72,46.6,0,BERG,NOT IIP
08/20/1884,-45.72,46.6,0,BBGR,NOT IIP
08/16/1884,-45.6,47.63,0,LG,NOT IIP
08/03/1884,-45.0,48.0,0,LG,NOT IIP
08/17/1884,-47.05,46.42,0,LG,NOT IIP
08/16/1884,-46.15,46.95,0,BERG,NOT IIP
07/28/1884,-43.0,47.0,0,VLG,NOT IIP
08/29/1884,-46.62,47.22,0,LG,NOT IIP
09/10/1884,-49.23,47.65,0,LG,NOT IIP
09/03/1884,-53.0,49.25,0,BERG,NOT IIP
09/03/1884,-53.0,46.65,0,BERG,NOT IIP
08/30/1884,-47.08,46.92,0,LG,NOT IIP
10/02/1884,-52.62,47.52,0,BERG,NOT IIP
10/02/1884,-53.07,46.65,0,BERG,NOT IIP
10/02/1884,-53.35,46.1,0,LG,NOT IIP
10/02/1884,-53.35,46.1,0,SM,NOT IIP
10/03/1884,-55.35,46.45,0,BERG,NOT IIP
10/03/1884,-55.85,46.3,0,BERG,NOT IIP
10/15/1884,-53.53,46.6,0,BERG,NOT IIP
10/15/1884,-52.98,46.72,0,BERG,NOT IIP
10/15/1884,-52.98,46.72,0,VLG,NOT IIP
11/17/1884,-53.63,45.93,0,BERG,NOT IIP
05/05/1884,-52.62,47.57,0,BERG,NOT IIP
05/06/1884,-50.08,43.03,0,LG,NOT IIP
05/06/1884,-48.75,53.07,0,LG,NOT IIP
05/09/1884,-48.02,43.63,0,LG,NOT IIP
05/09/1884,-49.73,43.27,0,LG,NOT IIP
05/09/1884,-48.02,43.63,0,SM,NOT IIP
05/09/1884,-49.73,43.27,0,SM,NOT IIP
05/09/1884,-48.27,43.48,0,BERG,NOT IIP
05/09/1884,-49.87,43.05,0,BERG,NOT IIP
05/09/1884,-47.9,46.92,0,BERG,NOT IIP
05/09/1884,-50.47,46.02,0,BERG,NOT IIP
05/10/1884,-48.18,43.53,0,SM,NOT IIP
05/10/1884,-48.18,43.53,0,BBGR,NOT IIP
05/10/1884,-49.35,43.3,0,LG,NOT IIP
05/10/1884,-49.8,43.07,0,LG,NOT IIP
05/10/1884,-51.05,43.0,0,SM,NOT IIP
05/15/1884,-49.13,44.58,0,LG,NOT IIP
05/20/1884,-53.02,46.05,0,LG,NOT IIP
05/20/1884,-51.05,47.02,0,LG,NOT IIP
05/21/1884,-49.03,42.98,0,LG,NOT IIP
05/22/1884,-45.88,44.75,0,BERG,NOT IIP
05/23/1884,-45.0,45.0,0,LG,NOT IIP
05/23/1884,-52.07,47.58,0,VLG,NOT IIP
05/23/1884,-52.75,46.95,0,VLG,NOT IIP
05/23/1884,-55.05,50.05,0,VLG,NOT IIP
05/23/1884,-52.63,46.85,0,BERG,NOT IIP
05/23/1884,-52.63,46.85,0,BBGR,NOT IIP
05/24/1884,-48.93,43.0,0,BBGR,NOT IIP
05/24/1884,-48.7,43.05,0,BERG,NOT IIP
05/24/1884,-50.73,42.87,0,BERG,NOT IIP
05/24/1884,-50.73,42.22,0,BERG,NOT IIP
05/24/1884,-50.73,42.22,0,BBGR,NOT IIP
05/24/1884,-48.9,42.05,0,VLG,NOT IIP
05/25/1884,-48.07,43.65,0,LG,NOT IIP
05/25/1884,-49.18,42.37,0,BERG,NOT IIP
05/25/1884,-49.0,44.0,0,LG,NOT IIP
05/25/1884,-44.08,43.48,0,SM,NOT IIP
05/27/1884,-53.07,46.65,0,BERG,NOT IIP
05/27/1884,-49.43,47.4,0,BERG,NOT IIP
05/27/1884,-50.0,46.0,0,SM,NOT IIP
05/27/1884,-50.7,42.27,0,LG,NOT IIP
05/27/1884,-47.88,42.82,0,LG,NOT IIP
05/27/1884,-50.7,42.27,0,SM,NOT IIP
05/27/1884,-47.88,42.82,0,SM,NOT IIP
05/28/1884,-48.82,42.18,0,BERG,NOT IIP
05/28/1884,-48.82,42.18,0,BBGR,NOT IIP
05/29/1884,-47.78,41.7,0,LG,NOT IIP
06/05/1884,-48.85,41.05,0,BERG,NOT IIP
06/06/1884,-50.45,46.38,0,BERG,NOT IIP
06/06/1884,-50.45,46.38,0,BBGR,NOT IIP
06/06/1884,-55.0,44.1,0,LG,NOT IIP
06/06/1884,-50.38,42.57,0,MED,NOT IIP
06/01/1884,-51.58,41.87,0,BERG,NOT IIP
06/01/1884,-51.23,41.78,0,BERG,NOT IIP
06/01/1884,-40.13,42.9,0,BERG,NOT IIP
06/02/1884,-49.03,42.05,0,VLG,NOT IIP
06/02/1884,-48.28,42.6,0,VLG,NOT IIP
06/02/1884,-49.03,42.05,0,BERG,NOT IIP
06/02/1884,-48.28,42.6,0,BERG,NOT IIP
06/03/1884,-49.77,42.03,0,BERG,NOT IIP
06/03/1884,-48.58,42.8,0,BERG,NOT IIP
06/07/1884,-50.37,60.25,0,BERG,NOT IIP
06/07/1884,-53.02,41.02,0,BERG,NOT IIP
06/08/1884,-48.08,42.07,0,BERG,NOT IIP
06/08/1884,-49.37,42.6,0,SM,NOT IIP
06/08/1884,-48.62,42.63,0,BERG,NOT IIP
06/08/1884,-48.43,42.07,0,LG,NOT IIP
06/08/1884,-48.43,42.07,0,BERG,NOT IIP
06/08/1884,-51.03,47.22,0,BERG,NOT IIP
06/08/1884,-49.63,47.6,0,BERG,NOT IIP
06/09/1884,-48.27,42.2,0,BERG,NOT IIP
06/09/1884,-48.57,41.92,0,VLG,NOT IIP
06/11/1884,-49.08,47.07,0,BERG,NOT IIP
06/11/1884,-49.08,47.07,0,BBGR,NOT IIP
06/12/1884,-50.03,48.32,0,BERG,NOT IIP
06/12/1884,-45.38,44.0,0,BERG,NOT IIP
06/12/1884,-49.05,44.05,0,BERG,NOT IIP
06/13/1884,-48.03,42.7,0,LG,NOT IIP
06/15/1884,-48.47,46.03,0,LG,NOT IIP
06/15/1884,-48.0,44.75,0,BERG,NOT IIP
06/15/1884,-48.25,42.42,0,BERG,NOT IIP
06/15/1884,-49.45,47.02,0,BERG,NOT IIP
06/15/1884,-49.45,47.02,0,BBGR,NOT IIP
06/15/1884,-51.25,47.02,0,BERG,NOT IIP
06/15/1884,-50.0,47.42,0,BERG,NOT IIP
06/17/1884,-48.6,42.32,0,MED,NOT IIP
06/17/1884,-48.6,42.32,0,BBGR,NOT IIP
06/18/1884,-45.92,52.05,0,BERG,NOT IIP
06/19/1884,-48.0,46.05,0,LG,NOT IIP
06/19/1884,-49.08,46.37,0,BERG,NOT IIP
06/20/1884,-50.02,46.03,0,BERG,NOT IIP
06/20/1884,-47.08,45.9,0,LG,NOT IIP
